Query,Category,Folder,Correct Source
"I suspect a phone number in our client's sub account is going to spam. I was doing bunch of research on how to remediate it and came across couple helpful steps and one of them was:\n\ngetting ""A"" attestation for your phone number and the video mentioned talking to your phone provider ",LC Phone System,Calendar Settings,https://help.gohighlevel.com/support/solutions/articles/48001231665-why-are-my-calls-marked-as-spam-and-how-can-i-avoid-it-lc-phone-
"I just have a few questions,\nregarding the phone numbers the client has bought..\n1. is the $12 campaign fee payment a monthly payment?\n2. do the numbers we send the text from need to be verified before we can test the leads in the client's subaccount?\n3. how can we record incoming and outgoing calls for the numbers?\n4. the verification for the numbers - how long does it usually take?",LC Phone System,Phone Number,https://help.gohighlevel.com/support/solutions/articles/48001229976-phone-number-settings-explained
how to provide twilio to users after connecting to lead connector,Phone & Email,--,https://help.gohighlevel.com/support/solutions/articles/48001240107-moving-numbers-out-of-an-lc-phone-sub-account-to-the-client-s-own-twilio-account
My client would like to port out their LC phone numbers and they need this info: Business name \nBilling address \nAccount number \nPIN number if availabl,LC Phone System,--,https://help.gohighlevel.com/support/solutions/articles/48001240107-moving-numbers-out-of-an-lc-phone-sub-account-to-the-client-s-own-twilio-account
a2p campaign rejection,LC Phone System,--,https://help.gohighlevel.com/support/solutions/articles/155000000508-a2p-10dlc-brand-approval-best-practices
Switch them from LC Phone to Twilio,LC Phone System,,https://help.gohighlevel.com/support/solutions/articles/48001240107-moving-numbers-out-of-an-lc-phone-sub-account-to-the-client-s-own-twilio-account
Porting a number out of High level,LC Phone System,,https://help.gohighlevel.com/support/solutions/articles/48001240107-moving-numbers-out-of-an-lc-phone-sub-account-to-the-client-s-own-twilio-account
I am trying to set up a dedicated domain but I am having great difficulty getting it all resolved,LC Email System,Phone & Email,https://help.gohighlevel.com/en/support/solutions/articles/155000002220-how-to-add-a-domain-and-verify-dns-record
there is no validate email button on one of my subaccounts,Contacts,Other,https://help.leadconnectorhq.com/en/support/solutions/articles/155000000623-how-to-enable-lc-email-validation
a sub account needs to transfer their exciting phone number to their new high level account they created on their own,LC Phone System,,https://help.gohighlevel.com/support/solutions/articles/48001211919-porting-your-telephone-number-non-twilio-number-to-a-location
Domain Issues,LC Email System,,https://help.gohighlevel.com/support/solutions/articles/155000002220-how-to-add-a-domain-and-verify-dns-record
Need to add a service calendar to a funnel,Calendars,Appointments,https://help.gohighlevel.com/support/solutions/articles/48000982201-embed-a-highlevel-calendar
